	code	name	changepercent	trade	open	high	low	settlement	volume	turnoverratio	amount	per	pb	mktcap	nmc
0	688981	中芯国际	1.522	58.02	56.64	58.58	55.82	57.15	36133968	3.29794	2082488409	0.0	4.407	45805126.734858	6356978.706
1	688819	天能股份	-7.712	52.89	57.32	58.48	52.88	57.31	24278100	24.02385	1349692236	0.0	7.6370000000000005	5141436.9	534497.396301
2	688788	科思科技	-0.20400000000000001	122.21	122.0	126.72	118.16	122.46	728968	4.38309	89486516	30.814	8.628	923103.849272	203251.777234
3	688777	中控技术	-2.965	99.17	101.8	104.56	98.53	102.2	3201597	8.20231	321357287	0.0	20.727	4899831.028	387089.110628
4	688699	明微电子	13.751	65.6	63.2	66.3	61.5	57.67	3934825	23.26329	252564530	45.241	9.3	487854.08	110957.86704
5	688698	伟创电气	-4.934	15.8	16.62	16.62	15.8	16.62	3795855	10.3644	60819104	36.744	6.449	284400.0	57865.90104
6	688686	奥普特	-2.668	336.0	340.02	347.79	325.08	345.21	1165504	6.83656	390805846	97.652	29.927	2771182.512	572815.992
7	688680	海优新材	-5.739	205.49	227.99	231.98	191.2	218.0	9380118	48.52053	1997968601	188.523	20.055	1726526.98	397258.713485
8	688679	通源环境	-0.146	13.67	13.67	13.8	13.42	13.69	1555416	5.19269	21147425	14.699	1.9460000000000002	180019.785725	40947.056485
9	688678	福立旺	-3.965	18.65	19.39	19.62	18.48	19.42	3558205	10.08276	67335929	21.941	4.305	323297.75	65815.863055
10	688669	N聚石	42.838	52.35	55.0	59.5	50.01	36.65	12923203	67.92676	685246683	36.347	5.815	488600.00349	99596.927235
11	688668	鼎通科技	-1.395	25.45	25.57	25.97	25.19	25.81	1022563	5.28861	26079646	28.92	4.821	216681.3	49208.08909
12	688658	悦康药业	-2.856	21.43	22.1	22.1	21.22	22.06	4133025	4.9834700000000005	88769651	27.127	5.61	964350.0	177728.877802
13	688656	浩欧博	1.758	92.6	92.0	95.99	85.2	91.0	3050375	23.76587	273851279	68.593	23.25	583920.11728	118853.0723
14	688618	三旺通信	-1.79	51.56	52.31	53.38	51.1	52.5	832278	7.73898	43160370	32.633	7.177	260519.76422	55449.50594
15	688617	惠泰医疗	2.39	257.0	260.0	267.9	246.0	251.0	853229	6.21506	218883624	155.758	30.511	1713419.0	352820.3683
16	688608	恒玄科技	-0.505	374.0	377.0	388.26	361.45	375.9	926059	4.02977	348865271	448.603	51.7	4488000.0	859469.0544
17	688600	皖仪科技	-3.008	15.48	15.95	15.95	15.42	15.96	360293	1.13754	5614078	23.104	2.659	206410.32	49029.804
18	688599	天合光能	-0.731	23.1	23.7	24.44	22.89	23.27	36473193	11.75796	860912759	0.0	3.255	4777140.92625	716562.0
19	688598	金博股份	5.176	247.51	251.75	259.48	240.18	235.33	2214900	11.56452	558790958	188.135	16.082	1980080.0	474044.591793
20	688596	正帆科技	-1.799	16.38	16.68	16.85	16.2	16.68	1554830	2.86275	25494308	36.4	2.582	420147.0	88963.666974
21	688595	芯海科技	-2.737	62.54	65.0	65.0	61.0	64.3	939227	4.61485	58728740	63.816	7.477	625400.0	127283.19039
